"Pathogen","Taxonomy ID","Uniprot ID","Pathogen Protein","Uniprot ID","Human Protein","Experimental Method","Pubmed ID"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P90495","MIR1_HHV8P ","O75787","RENR_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P90495","MIR1_HHV8P ","Q00325","MPCP_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P90495","MIR1_HHV8P ","Q3ZAQ7","VMA21_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P90495","MIR1_HHV8P ","Q00839","HNRPU_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P90495","MIR1_HHV8P ","Q13748","TBA3C_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P90495","MIR1_HHV8P ","Q15904","VAS1_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P90495","MIR1_HHV8P ","Q71U36","TBA1A_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P90495","MIR1_HHV8P ","Q6PEY2","TBA3E_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P90495","MIR1_HHV8P ","Q8NC56","LEMD2_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P90495","MIR1_HHV8P ","Q9BQE3","TBA1C_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P90495","MIR1_HHV8P ","Q96HS1","PGAM5_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P90495","MIR1_HHV8P ","Q9NZT1","CALL5_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P90495","MIR1_HHV8P ","P31151","S10A7_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P90495","MIR1_HHV8P ","P19338","NUCL_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P90489","MIR2_HHV8P ","P34931","HS71L_HUMAN ","affinity chromatography technology","22810585"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HCV3","ORF50_HHV8P ","Q04725","TLE2_HUMAN ","affinity chromatography technology","19939918"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P0C788","OX2V_HHV8P ","Q9Y287","ITM2B_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q98146","VGPCR_HHV8P ","Q99442","SEC62_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P0C788","OX2V_HHV8P ","P35221","CTNA1_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRB6","SCAF_HHV8P ","O60684","IMA7_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRD4","ORF4_HHV8P ","P38606","VATA_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRB6","SCAF_HHV8P ","Q9UIL1","SCOC_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P0C788","OX2V_HHV8P ","Q68D85","NR3L1_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HEZ4","VFLIP_HHV8P ","Q16543","CDC37_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRC7","VIL6_HHV8P ","P40189","IL6RB_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HR85","ORF48_HHV8P ","Q8N8A2","ANR44_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q77Q36","VCYCL_HHV8P ","P46527","CDN1B_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRC9","ORF10_HHV8P ","O75390","CISY_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P0C788","OX2V_HHV8P ","Q13308","PTK7_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRD4","ORF4_HHV8P ","P55060","XPO2_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HFD2","ORF24_HHV8P ","O94763","RMP_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRC7","VIL6_HHV8P ","P27824","CALX_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HR85","ORF48_HHV8P ","Q8NB46","ANR52_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRD4","ORF4_HHV8P ","Q06136","KDSR_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HFD2","ORF24_HHV8P ","P19387","RPB3_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","O95714","HERC2_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P90463","TYSY_HHV8P ","P04818","TYSY_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q98157","VMI2_HHV8P ","Q8WV44","TRI41_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","Q71UI9","H2AV_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRC9","ORF10_HHV8P ","Q9NR28","DBLOH_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q98157","VMI2_HHV8P ","Q15020","SART3_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q9QR71","ORF73_HHV8P ","O75521","ECI2_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HR85","ORF48_HHV8P ","O15084","ANR28_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","F5HFD2","ORF24_HHV8P ","P52435","RPB11_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","P0C788","OX2V_HHV8P ","Q14574","DSC3_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRD4","ORF4_HHV8P ","Q9UBB4","ATX10_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRD4","ORF4_HHV8P ","Q9C0E2","XPO4_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRC9","ORF10_HHV8P ","Q9BYJ9","YTHD1_HUMAN ","affinity chromatography technology","25544563"
"Human herpesvirus 8 (Kaposi's sarcoma-associated herpesvirus) STRAIN GK18","868565","Q2HRC6","DYR_HHV8P ","Q13162","PRDX4_HUMAN ","affinity chromatography technology","25544563"
