"Pathogen","Taxonomy ID","Uniprot ID","Pathogen Protein","Uniprot ID","Human Protein","Experimental Method","Pubmed ID"
"Human herpesvirus 1 STRAIN 17","10299","P10230","TEG1_HHV11 ","P27348","1433T_HUMAN ","affinity chromatography technology","23938468"
"Human herpesvirus 1 STRAIN 17","10299","P10230","TEG1_HHV11 ","P31946","1433B_HUMAN ","affinity chromatography technology","23938468"
"Human herpesvirus 1 STRAIN 17","10299","P10230","TEG1_HHV11 ","P61981","1433G_HUMAN ","affinity chromatography technology","23938468"
"Human herpesvirus 1 STRAIN 17","10299","P10230","TEG1_HHV11 ","P62258","1433E_HUMAN ","affinity chromatography technology","23938468"
"Human herpesvirus 1 STRAIN 17","10299","P10230","TEG1_HHV11 ","Q04917","1433F_HUMAN ","affinity chromatography technology","23938468"
"Human herpesvirus 1 STRAIN 17","10299","P10236","PRIM_HHV11 ","Q9NVP2","ASF1B_HUMAN ","affinity chromatography technology","20133788"
"Human herpesvirus 1 STRAIN 17","10299","P10238","ICP27_HHV11 ","Q9UBU9","NXF1_HUMAN ","affinity chromatography technology","15767397"
"Human herpesvirus 1 STRAIN 17","10299","P32888","TRX1_HHV11 ","O94776","MTA2_HUMAN ","affinity chromatography technology","20585571"
"Human herpesvirus 1 STRAIN 17","10299","P06492","VP16_HHV11 ","P51610","HCFC1_HUMAN ","affinity chromatography technology","10629049"
"Human herpesvirus 1 STRAIN 17","10299","P08393","ICP0_HHV11 ","Q04206","TF65_HUMAN ","affinity chromatography technology","24067962"
"Human herpesvirus 1","10298","Q9J0X9","Q9J0X9_HHV1 ","Q96SB4","SRPK1_HUMAN ","anti bait coimmunoprecipitation","12660167"
"Human herpesvirus 1","10298","Q9J0X9","Q9J0X9_HHV1 ","P25963","IKBA_HUMAN ","anti bait coimmunoprecipitation","18539148"
"Human herpesvirus 1","10298","Q9J0X9","Q9J0X9_HHV1 ","Q6P2Q9","PRP8_HUMAN ","anti bait coimmunoprecipitation","15567442"
"Human herpesvirus 1","10298","Q9J0X9","Q9J0X9_HHV1 ","Q99613","EIF3C_HUMAN ","anti bait coimmunoprecipitation","15567442"
"Human herpesvirus 1","10298","Q9J0X9","Q9J0X9_HHV1 ","P11142","HSP7C_HUMAN ","anti bait coimmunoprecipitation","15567442"
"Human herpesvirus 1","10298","Q9J0X9","Q9J0X9_HHV1 ","P61978","HNRPK_HUMAN ","anti bait coimmunoprecipitation","15567442"
